0 -0.500045 -0.500045 
0.01 -0.485373 -0.485373 
0.02 -0.47117 -0.47117 
0.03 -0.457422 -0.457422 
0.04 -0.444119 -0.444119 
0.05 -0.431246 -0.431246 
0.06 -0.418788 -0.418788 
0.07 -0.40673 -0.40673 
0.08 -0.395059 -0.395059 
0.09 -0.383761 -0.383761 
0.1 -0.372823 -0.372823 
0.11 -0.362234 -0.362234 
0.12 -0.35198 -0.35198 
0.13 -0.342051 -0.342051 
0.14 -0.332435 -0.332435 
0.15 -0.323122 -0.323122 
0.16 -0.3141 -0.3141 
0.17 -0.305361 -0.305361 
0.18 -0.296894 -0.296894 
0.19 -0.288691 -0.288691 
0.2 -0.280742 -0.280742 
0.21 -0.273039 -0.273039 
0.22 -0.265574 -0.265574 
0.23 -0.258338 -0.258338 
0.24 -0.251323 -0.251323 
0.25 -0.244523 -0.244523 
0.26 -0.237931 -0.237931 
0.27 -0.231539 -0.231539 
0.28 -0.22534 -0.22534 
0.29 -0.219329 -0.219329 
0.3 -0.213498 -0.213498 
0.31 -0.207843 -0.207843 
0.32 -0.202357 -0.202357 
0.33 -0.197035 -0.197035 
0.34 -0.191871 -0.191871 
0.35 -0.186861 -0.186861 
0.36 -0.181999 -0.181999 
0.37 -0.17728 -0.17728 
0.38 -0.1727 -0.1727 
0.39 -0.168254 -0.168254 
0.4 -0.163938 -0.163938 
0.41 -0.159748 -0.159748 
0.42 -0.15568 -0.15568 
0.43 -0.15173 -0.15173 
0.44 -0.147894 -0.147894 
0.45 -0.144168 -0.144168 
0.46 -0.140549 -0.140549 
0.47 -0.137033 -0.137033 
0.48 -0.133618 -0.133618 
0.49 -0.1303 -0.1303 
0.5 -0.127076 -0.127076 
0.51 -0.123944 -0.123944 
0.52 -0.120899 -0.120899 
0.53 -0.11794 -0.11794 
0.54 -0.115064 -0.115064 
0.55 -0.112268 -0.112268 
0.56 -0.10955 -0.10955 
0.57 -0.106907 -0.106907 
0.58 -0.104338 -0.104338 
0.59 -0.101839 -0.101839 
0.6 -0.099409 -0.099409 
0.61 -0.0970454 -0.0970454 
0.62 -0.0947464 -0.0947464 
0.63 -0.0925099 -0.0925099 
0.64 -0.0903341 -0.0903341 
0.65 -0.0882172 -0.0882172 
0.66 -0.0861573 -0.0861573 
0.67 -0.0841527 -0.0841527 
0.68 -0.0822019 -0.0822019 
0.69 -0.0803031 -0.0803031 
0.7 -0.0784548 -0.0784548 
0.71 -0.0766556 -0.0766556 
0.72 -0.0749039 -0.0749039 
0.73 -0.0731985 -0.0731985 
0.74 -0.0715378 -0.0715378 
0.75 -0.0699205 -0.0699205 
0.76 -0.0683455 -0.0683455 
0.77 -0.0668115 -0.0668115 
0.78 -0.0653172 -0.0653172 
0.79 -0.0638616 -0.0638616 
0.8 -0.0624434 -0.0624434 
0.81 -0.0610617 -0.0610617 
0.82 -0.0597153 -0.0597153 
0.83 -0.0584033 -0.0584033 
0.84 -0.0571246 -0.0571246 
0.85 -0.0558783 -0.0558783 
0.86 -0.0546635 -0.0546635 
0.87 -0.0534793 -0.0534793 
0.88 -0.0523247 -0.0523247 
0.89 -0.0511991 -0.0511991 
0.9 -0.0501015 -0.0501015 
0.91 -0.0490312 -0.0490312 
0.92 -0.0479874 -0.0479874 
0.93 -0.0469694 -0.0469694 
0.94 -0.0459764 -0.0459764 
0.95 -0.0450077 -0.0450077 
0.96 -0.0440627 -0.0440627 
0.97 -0.0431408 -0.0431408 
0.98 -0.0422412 -0.0422412 
0.99 -0.0413634 -0.0413634 
1 -0.0405067 -0.0405067 
1.01 -0.0396707 -0.0396707 
1.02 -0.0388546 -0.0388546 
1.03 -0.0380581 -0.0380581 
1.04 -0.0372805 -0.0372805 
1.05 -0.0365214 -0.0365214 
1.06 -0.0357802 -0.0357802 
1.07 -0.0350565 -0.0350565 
1.08 -0.0343498 -0.0343498 
1.09 -0.0336597 -0.0336597 
1.1 -0.0329857 -0.0329857 
1.11 -0.0323273 -0.0323273 
1.12 -0.0316842 -0.0316842 
1.13 -0.031056 -0.031056 
1.14 -0.0304422 -0.0304422 
1.15 -0.0298425 -0.0298425 
1.16 -0.0292566 -0.0292566 
1.17 -0.028684 -0.028684 
1.18 -0.0281245 -0.0281245 
1.19 -0.0275776 -0.0275776 
1.2 -0.0270431 -0.0270431 
1.21 -0.0265207 -0.0265207 
1.22 -0.0260099 -0.0260099 
1.23 -0.0255106 -0.0255106 
1.24 -0.0250225 -0.0250225 
1.25 -0.0245451 -0.0245451 
1.26 -0.0240784 -0.0240784 
1.27 -0.023622 -0.023622 
1.28 -0.0231756 -0.0231756 
1.29 -0.0227391 -0.0227391 
1.3 -0.0223121 -0.0223121 
1.31 -0.0218944 -0.0218944 
1.32 -0.0214858 -0.0214858 
1.33 -0.021086 -0.021086 
1.34 -0.0206949 -0.0206949 
1.35 -0.0203123 -0.0203123 
1.36 -0.0199378 -0.0199378 
1.37 -0.0195714 -0.0195714 
1.38 -0.0192128 -0.0192128 
1.39 -0.0188618 -0.0188618 
1.4 -0.0185183 -0.0185183 
1.41 -0.018182 -0.018182 
1.42 -0.0178528 -0.0178528 
1.43 -0.0175306 -0.0175306 
1.44 -0.0172151 -0.0172151 
1.45 -0.0169062 -0.0169062 
1.46 -0.0166037 -0.0166037 
1.47 -0.0163076 -0.0163076 
1.48 -0.0160175 -0.0160175 
1.49 -0.0157335 -0.0157335 
1.5 -0.0154553 -0.0154553 
1.51 -0.0151828 -0.0151828 
1.52 -0.0149159 -0.0149159 
1.53 -0.0146544 -0.0146544 
